record,prow,pcol,harvester,checks,plot,bloc,entry,r_expt,r_location,loccode,loc,year1,name,source,identity1,v_desc,selection,pedigree,growthstag,headcode,htcm,MicroSD,mmbran,mmch,mmflour,mmmids,notes,notes2,plotlen,plotwid,ppass,ppo,twtg,yieldg,ROI Label,Group,Name,Area of Ground,Area of Plant,Total ROI Area,% Ground Cover,% Plant Cover
37,10,3,0,0,2037,1,108,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-19,,14X1053,,-19,(X010746-4C/SY OVATION),45,cbw,86,1.7,3.8,1,3.15,10.8,,,350.52,5.5,,M,61.7,1800,R03,19 F5-1,2037,1275,1796,3071,0.415,0.585
38,11,3,0,0,2038,1,124,19 F5-1 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,43,cbw,84,1.6,3.6,2,4.88,10.6,,,360.68,5.5,,M,60.62,2220,Q03,19 F5-1,2038,321,2750,3071,0.105,0.895
39,12,3,0,0,2039,1,57,19 F5-1 LIND,Lind,LIN,2,2019,14X1082-0-0-20,,14X1082,,-20,(X06137-2C/HS00162-5L-3),45,cbw,80,2.5,3.43,3,4.31,10,,,365.76,5.5,,L,58.19,1990,P03,19 F5-1,2039,454,2617,3071,0.148,0.852
40,13,3,0,0,2040,1,90,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-60,,14X1115,,-60,(WA008134/X070036-0-0-47C),47,cbw,72,1.8,3.35,4,4.75,8.28,,,378.46,5.5,,L,60.35,1910,O03,19 F5-1,2040,1748,1323,3071,0.569,0.431
41,14,3,0,0,2041,1,63,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-2,,14X1115,,-2,(WA008134/X070036-0-0-47C),47,cbw,77,0.5,4.53,1,4.67,11.7,,,347.98,5.5,,M,60.32,2130,N03,19 F5-1,2041,849,2222,3071,0.276,0.724
42,15,3,0,0,2042,1,120,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-31,,14X1053,,-31,(X010746-4C/SY OVATION),45,cbw,93,2.7,3.44,2,5.11,10,,,365.76,5.5,,D,61.59,2380,M03,19 F5-1,2042,790,2281,3071,0.257,0.743
43,16,3,0,0,2043,1,24,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-18,,14X1054,,-18,(X010817-4L/X06141-8C),49,caw,82,2.6,3.96,3,5.43,10.8,,,350.52,5.5,,D,59.66,2080,L03,19 F5-1,2043,126,2945,3071,0.041,0.959
44,17,3,0,0,2044,1,4,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-27,,14X1085,,-2-C-0-0-27,(X06141-2C/04-10001A),47,cbw,75,1.4,3.89,4,5.5,11.3,,,355.6,5.5,,D,61.4,1820,K03,19 F5-1,2044,2190,881,3071,0.713,0.287
45,18,3,0,0,2045,1,91,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-62,,14X1115,,-62,(WA008134/X070036-0-0-47C),43,cbw,73,1.5,3.87,1,3.92,9.91,,,368.3,5.5,,M,.,1310,J03,19 F5-1,2045,1447,1624,3071,0.471,0.529
46,19,3,0,0,2046,1,47,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-41,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),43,cbw,78,2.2,3.97,2,5.02,10.7,,,353.06,5.5,,M,60.68,1780,I03,19 F5-1,2046,1250,1821,3071,0.407,0.593
47,20,3,0,0,2047,1,114,19 F5-1 LIND,Lind,LIN,2,2019,Bobtail,2019 SW Winter PUL,,SWW,,,45,law,81,2.4,3.34,3,4.87,9.78,,,386.08,5.5,,D,59.08,2280,H03,19 F5-1,2047,1139,1932,3071,0.371,0.629
48,21,3,0,0,2048,1,104,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-10,,14X1053,,-10,(X010746-4C/SY OVATION),47,cbw,90,2.8,3.62,4,5.11,10.3,,,337.82,5.5,,D,60.18,2110,G03,19 F5-1,2048,555,2516,3071,0.181,0.819
49,22,3,0,0,2049,1,123,19 F5-1 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbw,94,2.7,4.06,1,3.59,9.57,,,373.38,5.5,,L,59.66,2700,F03,19 F5-1,2049,861,2210,3071,0.28,0.72
50,23,3,0,0,2050,1,52,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-57,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),49,cbw,88,0.5,4.21,2,5.32,10.3,,,360.68,5.5,,M,58.39,2310,E03,19 F5-1,2050,681,2390,3071,0.222,0.778
51,24,3,0,0,2051,1,106,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-14,,14X1053,,-14,(X010746-4C/SY OVATION),43,cbw,80,3.1,3.79,3,4.37,10.2,,,370.84,5.5,,D,61.11,2090,D03,19 F5-1,2051,1386,1685,3071,0.451,0.549
52,25,3,0,0,2052,1,105,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-13,,14X1053,,-13,(X010746-4C/SY OVATION),41,cbw,70,2.7,3.35,4,4.33,8.9,,,375.92,5.5,,M,60.34,1750,C03,19 F5-1,2052,270,2801,3071,0.088,0.912
53,26,3,0,0,2053,1,82,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-49,,14X1115,,-49,(WA008134/X070036-0-0-47C),41,cbw,103,1.4,3.92,1,4.06,11.5,,,337.82,5.5,,M,61.09,1920,B03,19 F5-1,2053,446,2625,3071,0.145,0.855
54,27,3,0,0,2054,1,88,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-56,,14X1115,,-56,(WA008134/X070036-0-0-47C),47,cbw,85,1.5,3.31,2,5.38,9.67,,,355.6,5.5,,M,60.64,1700,A03,19 F5-1,2054,2276,795,3071,0.741,0.259
55,27,4,0,0,2055,1,69,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-17,,14X1115,,-17,(WA008134/X070036-0-0-47C),49,cbw,88,1.6,3.99,3,5.83,10.9,,,383.54,5.5,,M,59.26,2070,A04,19 F5-1,2055,1833,1238,3071,0.597,0.403
56,26,4,0,0,2056,1,45,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-38,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),49,cbw,90,1,3.65,4,6.43,9.45,,,353.06,5.5,,L,60.23,2100,B04,19 F5-1,2056,1258,1813,3071,0.41,0.59
57,25,4,0,0,2057,1,18,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-3,,14X1054,,-3,(X010817-4L/X06141-8C),51,caw,80,3.4,4.54,1,3.59,12.4,,,373.38,5.5,,M,60.18,2040,C04,19 F5-1,2057,569,2502,3071,0.185,0.815
58,24,4,0,0,2058,1,123,19 F5-1 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbw,85,2.9,3.41,2,4.66,8.34,,,368.3,5.5,,M,60.1,2060,D04,19 F5-1,2058,1463,1608,3071,0.476,0.524
59,23,4,0,0,2059,1,19,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-5,,14X1054,,-5,(X010817-4L/X06141-8C),49,caw,80,2,4.13,3,4.58,11.1,,,360.68,5.5,,D,59.61,1730,E04,19 F5-1,2059,887,2184,3071,0.289,0.711
60,22,4,0,0,2060,1,29,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-34,,14X1054,,-34,(X010817-4L/X06141-8C),53,caw,83,2.7,4.02,4,5.7,10.7,,,363.22,5.5,,D,60.41,2470,F04,19 F5-1,2060,2017,1054,3071,0.657,0.343
61,21,4,0,0,2061,1,100,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-5,,14X1053,,-5,(X010746-4C/SY OVATION),47,cbw,88,3.2,3.83,1,3.92,11.4,,,363.22,5.5,,D,61.65,2140,G04,19 F5-1,2061,1439,1632,3071,0.469,0.531
62,20,4,0,0,2062,1,115,19 F5-1 LIND,Lind,LIN,2,2019,BRUEHL,2019 SW Winter ALM,SNP1275,WC,,UNA(NS1971)/5/Oasis/4/Luke//Itana/,41,cbw,86,2.8,2.6,2,3.89,8.03,,,386.08,5.5,,L,60.1,2090,H04,19 F5-1,2062,598,2473,3071,0.195,0.805
63,19,4,0,0,2063,1,40,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-10,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),47,cbw,69,0.5,3.84,3,5.31,9.7,,,353.06,5.5,,M,60.43,2090,I04,19 F5-1,2063,918,2153,3071,0.299,0.701
64,18,4,0,0,2064,1,83,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-50,,14X1115,,-50,(WA008134/X070036-0-0-47C),43,cbarw,75,1.5,3.67,4,5.86,9.16,,,360.68,5.5,,M,61.09,1700,J04,19 F5-1,2064,1618,1453,3071,0.527,0.473
65,17,4,0,0,2065,1,112,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-29,,14X1053,,-29,(X010746-4C/SY OVATION),43,cbw,80,2.9,3.69,1,3.48,11.1,,,368.3,5.5,,M,60.4,2160,K04,19 F5-1,2065,1471,1600,3071,0.479,0.521
66,16,4,0,0,2066,1,124,19 F5-1 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,43,cbw,81,1.7,3.1,2,4.64,9.32,,,363.22,5.5,,L,60.84,2260,L04,19 F5-1,2066,581,2490,3071,0.189,0.811
67,15,4,0,0,2067,1,50,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-53,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),47,cbw,86,0.4,4.23,3,6.45,10.9,,,335.28,5.5,,M,61.39,2060,M04,19 F5-1,2067,651,2420,3071,0.212,0.788
68,14,4,0,0,2068,1,65,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-6,,14X1115,,-6,(WA008134/X070036-0-0-47C),49,cbw,93,1.5,3.9,4,5.61,10.5,,,370.84,5.5,,M,60.51,2050,N04,19 F5-1,2068,80,2991,3071,0.026,0.974
69,13,4,0,0,2069,1,26,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-28,,14X1054,,-28,(X010817-4L/X06141-8C),49,caw,89,3.2,4.25,1,3.75,11.9,,,401.32,5.5,,D,60.33,2490,O04,19 F5-1,2069,1302,1769,3071,0.424,0.576
70,12,4,0,0,2070,1,56,19 F5-1 LIND,Lind,LIN,2,2019,14X1082-0-0-19,,14X1082,,-19,(X06137-2C/HS00162-5L-3),43,cbw,82,2.5,3.71,2,4.54,10.3,,,381,5.5,,M,61.02,2260,P04,19 F5-1,2070,2129,942,3071,0.693,0.307
71,11,4,0,0,2071,1,117,19 F5-1 LIND,Lind,LIN,2,2019,Otto,2019 Freeze Test,Otto,SWW,,Eltan//Madsen/Eltan///Eltan,41,lbw,79,4.3,3.25,3,4.43,8.51,,,347.98,5.5,,M,61.9,2220,Q04,19 F5-1,2071,991,2080,3071,0.323,0.677
72,10,4,0,0,2072,1,14,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-93,,14X1085,,-2-C-0-0-93,(X06141-2C/04-10001A),43,cbw,90,1.3,3.63,4,5.13,10.7,,,355.6,5.5,,D,60.88,2010,R04,19 F5-1,2072,1577,1494,3071,0.514,0.486
73,10,5,0,0,2073,1,46,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-39,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),45,cbw,76,0.3,3.73,1,5.37,11.2,,,355.6,5.5,,M,59.98,2080,R05,19 F5-1,2073,1112,1959,3071,0.362,0.638
74,11,5,0,0,2074,1,95,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-69,,14X1115,,-69,(WA008134/X070036-0-0-47C),47,cbw,80,0.9,2.67,2,4.54,8.53,,,345.44,5.5,,L,62.6,2280,Q05,19 F5-1,2074,195,2876,3071,0.063,0.937
75,12,5,0,0,2075,1,124,19 F5-1 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,47,cbw,90,1.3,2.92,3,5.21,9.17,,,363.22,5.5,,M,60.53,2290,P05,19 F5-1,2075,140,2931,3071,0.046,0.954
76,13,5,0,0,2076,1,97,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-74,,14X1115,,-74,(WA008134/X070036-0-0-47C),43,cbw,81,1,3.59,4,6.27,9.39,,,375.92,5.5,,M,61,1930,O05,19 F5-1,2076,853,2218,3071,0.278,0.722
77,14,5,0,0,2077,1,64,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-5,,14X1115,,-5,(WA008134/X070036-0-0-47C),47,cbw,74,0.5,4.49,1,4.72,11.3,,,342.9,5.5,,M,59.81,1340,N05,19 F5-1,2077,1378,1693,3071,0.449,0.551
78,15,5,0,0,2078,1,114,19 F5-1 LIND,Lind,LIN,2,2019,Bobtail,2019 SW Winter PUL,,SWW,,,45,law,84,2.5,3.38,2,4.97,10,,,350.52,5.5,,D,59.86,2180,M05,19 F5-1,2078,770,2301,3071,0.251,0.749
79,16,5,0,0,2079,1,38,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-7,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),45,cbw,83,0.5,4.26,3,5.39,11,,,350.52,5.5,,L,60.19,1850,L05,19 F5-1,2079,1246,1825,3071,0.406,0.594
80,17,5,0,0,2080,1,17,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-2,,14X1054,,-2,(X010817-4L/X06141-8C),47,caw,68,2.4,3.94,4,5.36,10,,,358.14,5.5,,M,.,1140,K05,19 F5-1,2080,611,2460,3071,0.199,0.801
81,18,5,0,0,2081,1,25,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-27,,14X1054,,-27,(X010817-4L/X06141-8C),47,caw,75,2.2,4.57,1,3.75,12.4,,,370.84,5.5,,M,60.77,1490,J05,19 F5-1,2081,1268,1803,3071,0.413,0.587
82,19,5,0,0,2082,1,15,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-96,,14X1085,,-2-C-0-0-96,(X06141-2C/04-10001A),47,cbw,76,0.8,3.89,2,4.75,11,,,347.98,5.5,,M,61.46,1690,I05,19 F5-1,2082,493,2578,3071,0.161,0.839
83,20,5,0,0,2083,1,123,19 F5-1 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,lbw,75,2.7,4.21,3,5.24,10,,,373.38,5.5,,L,61.27,1590,H05,19 F5-1,2083,701,2370,3071,0.228,0.772
84,21,5,0,0,2084,1,102,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-7,,14X1053,,-7,(X010746-4C/SY OVATION),43,cbw,103,1.2,3.9,4,5.32,10.5,,,340.36,5.5,,M,60.31,1780,G05,19 F5-1,2084,122,2949,3071,0.04,0.96
85,22,5,0,0,2085,1,37,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-4,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),47,cbw,86,0.4,4.41,1,4.02,10.9,,,350.52,5.5,,M,58.55,2610,F05,19 F5-1,2085,533,2538,3071,0.174,0.826
